Age,MaritalStatus,Attitude_diff
1,1,0.23984487581574465
1,2,0.014236136681965146
1,3,-0.38804957760374914
1,4,0.1675059779518064
1,6,0.08563463292256665
2,1,0.05231739487331508
2,2,-0.040521381124356284
2,3,-0.2066336484002093
2,4,-0.03726423728961301
2,5,-0.007681479444239938
2,6,-0.13431823432016704
3,1,-0.07554957760374914
3,2,-0.0035828078974122005
3,3,-0.10679957760374914
3,4,-0.07226010391953862
3,5,-0.007367759421930959
3,6,0.028617089062917527
