Education,Income,Attitude_diff
1,1,0.006687264501514017
1,2,-0.022664962219133757
1,3,0.02232079276662123
2,1,-0.05298108445306421
2,2,-0.0649619073278148
2,3,-0.036822081695402166
3,1,-0.014003776077031583
3,2,-0.0022071050214959
3,3,0.04908122408401457
4,1,0.2423852050049465
4,2,0.16740659413149236
4,3,0.2748717707108576
