,column,index,diff
0,Education,2,0.0514066010151204
1,Age,2,0.041829972740527244
2,Income,1,0.0279672730770002
3,SocialMedia,2,0.0612951916388369
4,StudiedAbroad,2,0.0017798753270416023
5,OnlineShopping,4,0.05357911706723184
6,MaritalStatus,3,0.18599478308320117
7,ReligiousBelief,5,0.1054408819515752
