,column,index,diff
0,Education,4,0.21224833699406614
1,Age,1,0.16662095099871282
2,Income,3,0.02780256385706481
3,SocialMedia,1,0.028001325516119446
4,StudiedAbroad,1,0.6119504223962509
5,OnlineShopping,1,0.1629308145531136
6,MaritalStatus,1,0.20761829243235197
7,ReligiousBelief,1,0.06356332562205735
