Attitude,Education,Age,Income,HomosexualPeopleYouKnow,HowMuchYouAgreeThatHavingBoysBetterThanGirls
1,0.2,0.8,0.2,0.2,0.6922921101413757
2,0.5739805754949188,0.595975131692656,0.49321060966404984,0.31676078453362283,0.8
3,0.8,0.2,0.8,0.8,0.2
