,AttitudeToHomosexuality,HomosexualPeopleYouKnow,HowMuchYouAgreeThatMoreChildreanMoreBlessing,HowMuchYouAgreeThatHavingBoysBetterThanGirls,ReligiousBelief,OnlineShoppingFrequency,SocialMediaUsageFrequency,PaidByTheNation,HasStudiesAbroad,BornProvinceCityCounty,AnnualIncome,Birthyear,Birthmonth,MaritalStatus,ResidenceProvinceCityCounty,FatherEducation,MotherEducation,ArmyEnrollment,PoliticalRole,FatherResidenceType,MotherResidenceType,BornResidenceType,CurrentResidenceType,EducationLevel,Attitude,Age,Income,Education
4604,3,0,4.0,4.0,9,4.0,1.0,,,341222.0,10000.0,1969,2.0,2,341222.0,2.0,2.0,2,3,1.0,1.0,1,1,1.0,2,2,1,1
4605,2,0,4.0,4.0,9,4.0,4.0,,,341222.0,4000.0,1948,8.0,5,341222.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,1,3,1,1
4606,3,0,3.0,3.0,9,,,,,341222.0,,1957,4.0,2,341222.0,4.0,1.0,2,3,1.0,1.0,1,1,1.0,2,3,3,1
4607,3,0,2.0,2.0,9,,,,2.0,341222.0,,1962,5.0,2,341222.0,1.0,1.0,2,3,1.0,1.0,1,1,4.0,2,2,3,3
4608,3,0,2.0,1.0,9,,,,,341222.0,,1963,4.0,2,341222.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,2,2,3,1
4609,3,0,3.0,3.0,9,,,,2.0,341222.0,,1970,11.0,2,341222.0,3.0,1.0,2,3,1.0,1.0,1,1,3.0,2,2,3,2
4610,3,0,3.0,3.0,9,,,,,341222.0,,1972,4.0,2,341222.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,2,2,3,1
4611,3,0,,,9,,,,2.0,340321.0,,1988,,2,340321.0,,,2,3,1.0,1.0,1,1,4.0,2,1,3,3
4612,2,0,,,9,3.0,3.0,,2.0,340321.0,100000.0,1980,,6,340321.0,1.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,2,2
4613,1,0,,,9,,,,2.0,340321.0,,1983,,6,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4614,2,0,,,9,2.0,1.0,1.0,2.0,340321.0,50000.0,1979,,2,340321.0,3.0,2.0,2,3,1.0,1.0,1,2,8.0,1,2,2,4
4615,1,0,,,9,3.0,1.0,2.0,2.0,340321.0,60000.0,1982,,2,340321.0,,2.0,2,3,1.0,1.0,1,1,9.0,1,2,2,4
4616,3,0,,,9,,,,2.0,340321.0,,1993,,2,340321.0,4.0,2.0,2,3,1.0,1.0,1,1,3.0,2,1,3,2
4617,3,0,,,9,1.0,1.0,,2.0,340321.0,60000.0,1991,,2,340321.0,3.0,2.0,2,3,1.0,1.0,1,1,4.0,2,1,2,3
4618,1,0,,,9,,,,2.0,340321.0,,1963,,6,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4619,1,0,,,9,2.0,1.0,,2.0,340321.0,150000.0,1982,,2,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4620,1,0,,,9,,,,2.0,340321.0,,1980,,2,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,2.0,1,2,3,2
4621,1,0,,,9,,,,2.0,340321.0,,1982,,6,340321.0,2.0,,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4622,2,0,,,9,,,,2.0,340321.0,,1957,,5,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,2.0,1,3,3,2
4623,1,0,,,9,3.0,1.0,1.0,2.0,340321.0,90000.0,1983,,2,340321.0,2.0,1.0,2,3,1.0,1.0,1,2,9.0,1,2,2,4
4624,1,0,,,9,1.0,1.0,1.0,2.0,340321.0,50000.0,1980,,2,340321.0,3.0,2.0,2,3,1.0,1.0,1,1,9.0,1,2,2,4
4625,1,0,,,9,3.0,1.0,,2.0,340321.0,50000.0,1979,,2,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,4.0,1,2,2,3
4626,1,0,,,9,2.0,1.0,2.0,2.0,340321.0,50000.0,1979,,2,340321.0,4.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,2,2
4627,1,0,,,9,3.0,1.0,,2.0,340321.0,0.0,1975,,2,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,1,2
4628,1,0,,,9,3.0,2.0,1.0,2.0,340321.0,70000.0,1973,,2,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,2.0,1,2,2,2
4629,1,0,,,9,1.0,1.0,1.0,2.0,340321.0,50000.0,1972,,2,340321.0,8.0,2.0,2,3,2.0,2.0,2,2,9.0,1,2,2,4
4630,2,0,,,9,1.0,1.0,1.0,2.0,340321.0,50000.0,1974,3.0,2,340321.0,2.0,2.0,2,3,2.0,2.0,2,2,9.0,1,2,2,4
4631,1,0,,,9,,,,2.0,340321.0,,1995,12.0,1,340321.0,,,2,3,2.0,2.0,2,2,9.0,1,1,3,4
4632,1,0,,,9,2.0,1.0,2.0,2.0,340321.0,50000.0,1960,,2,340321.0,,,2,3,1.0,1.0,1,1,8.0,1,2,2,4
4633,2,0,,,9,1.0,1.0,,2.0,340321.0,100000.0,1974,,2,340321.0,2.0,2.0,2,1,1.0,1.0,1,1,3.0,1,2,2,2
4634,3,0,,,9,3.0,1.0,1.0,2.0,340321.0,30000.0,1961,2.0,2,340321.0,2.0,2.0,2,1,1.0,1.0,1,2,4.0,2,2,2,3
4635,2,0,,,9,,,,,340321.0,,1963,2.0,2,340321.0,2.0,1.0,2,3,1.0,1.0,1,1,1.0,1,2,3,1
4636,2,0,,,9,2.0,2.0,2.0,2.0,340321.0,20000.0,1978,11.0,2,340321.0,,7.0,2,3,1.0,1.0,2,2,7.0,1,2,1,3
4637,3,0,,,9,2.0,2.0,2.0,2.0,340321.0,50000.0,1974,1.0,2,340321.0,2.0,1.0,2,3,1.0,1.0,2,2,8.0,2,2,2,4
4638,1,0,,,9,,,,2.0,340321.0,,1964,4.0,2,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,2.0,1,2,3,2
4639,2,0,,,9,4.0,1.0,,2.0,340321.0,30000.0,1965,7.0,2,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,2,2
4640,2,0,,,9,,,,2.0,340321.0,,1969,7.0,2,340321.0,2.0,1.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4641,1,0,,,9,,,,2.0,340321.0,,1969,5.0,2,340321.0,1.0,1.0,2,3,1.0,1.0,1,1,2.0,1,2,3,2
4642,1,0,,,9,,,,2.0,340321.0,,1993,10.0,2,340321.0,3.0,2.0,2,1,1.0,1.0,1,1,9.0,1,1,3,4
4643,3,0,,,9,,,,2.0,340321.0,,1976,9.0,2,340321.0,1.0,2.0,2,3,1.0,1.0,2,2,3.0,2,2,3,2
4644,2,0,,,9,2.0,2.0,2.0,2.0,340321.0,50000.0,1972,7.0,2,340321.0,1.0,1.0,2,3,1.0,1.0,2,2,3.0,1,2,2,2
4645,1,0,,,9,,,,2.0,340321.0,,1965,10.0,2,340321.0,2.0,1.0,2,3,1.0,1.0,2,2,3.0,1,2,3,2
4646,3,0,,,9,,,,2.0,340321.0,,1965,9.0,2,340321.0,2.0,2.0,2,3,1.0,1.0,1,2,3.0,2,2,3,2
4647,3,0,,,9,,,,2.0,340321.0,,1985,11.0,2,340321.0,1.0,2.0,2,3,1.0,1.0,1,1,3.0,2,2,3,2
4648,3,0,,,9,2.0,3.0,,2.0,340321.0,100000.0,1985,9.0,2,340321.0,2.0,1.0,2,3,1.0,1.0,1,1,3.0,2,2,2,2
4649,2,0,,,9,3.0,2.0,1.0,2.0,340321.0,30000.0,1962,10.0,2,340321.0,1.0,1.0,2,1,1.0,1.0,1,2,3.0,1,2,2,2
4650,2,0,,,9,,,,2.0,340321.0,,1962,,2,340321.0,1.0,1.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4651,1,0,,,9,,,,2.0,340321.0,,1976,6.0,2,340321.0,,1.0,2,3,1.0,1.0,2,2,2.0,1,2,3,2
4652,1,0,,,9,3.0,2.0,,2.0,340321.0,30000.0,1975,6.0,2,340321.0,1.0,1.0,2,3,1.0,1.0,1,1,2.0,1,2,2,2
4653,3,0,,,9,,,,2.0,340321.0,,1999,10.0,1,340321.0,1.0,1.0,2,3,1.0,1.0,1,1,2.0,2,1,3,2
4654,2,0,,,9,1.0,1.0,,2.0,340321.0,30000.0,1979,10.0,2,340321.0,1.0,1.0,2,3,1.0,1.0,1,2,3.0,1,2,2,2
4655,4,0,,,9,,,,2.0,340321.0,,1974,,2,340321.0,2.0,2.0,2,3,1.0,1.0,1,2,3.0,3,2,3,2
4656,1,0,,,9,3.0,3.0,,2.0,340321.0,50000.0,1980,1.0,2,340321.0,3.0,1.0,2,3,1.0,1.0,1,1,3.0,1,2,2,2
4657,2,0,,,9,,,,2.0,340321.0,,1983,8.0,2,340321.0,2.0,1.0,2,3,1.0,1.0,1,2,3.0,1,2,3,2
4658,1,0,,,9,2.0,1.0,,2.0,340321.0,33600.0,1965,10.0,2,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,2,2
4659,1,0,,,9,4.0,4.0,,2.0,340321.0,15000.0,1966,4.0,2,340321.0,1.0,1.0,2,3,1.0,1.0,1,1,2.0,1,2,1,2
4660,1,0,,,9,3.0,2.0,,2.0,340321.0,100000.0,1981,1.0,2,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,2,2
4661,1,0,,,9,,,,2.0,340321.0,,1980,4.0,2,340321.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4662,1,0,,,9,,,,2.0,340321.0,,1969,7.0,2,340321.0,2.0,2.0,2,3,1.0,1.0,2,2,2.0,1,2,3,2
4663,1,0,,,9,3.0,3.0,,2.0,340321.0,40000.0,1969,4.0,2,340321.0,1.0,1.0,2,3,1.0,1.0,2,2,2.0,1,2,2,2
4664,2,0,,,9,1.0,1.0,,2.0,340321.0,30000.0,1993,6.0,1,340321.0,3.0,3.0,2,1,1.0,1.0,1,1,9.0,1,1,2,4
4665,3,0,1.0,1.0,9,,,,,340223.0,,1968,12.0,2,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,2,2,3,1
4666,3,0,3.0,3.0,9,4.0,4.0,,,340223.0,45000.0,1956,,2,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,2,3,2,1
4667,1,0,3.0,3.0,9,,,,,340223.0,,1963,,1,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,1,2,3,1
4668,4,0,3.0,4.0,9,3.0,3.0,,,340223.0,50000.0,1967,,2,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,3,2,2,1
4669,2,0,2.0,3.0,9,,,,,340223.0,,1969,11.0,2,340223.0,1.0,1.0,2,3,,1.0,1,1,1.0,1,2,3,1
4670,2,0,2.0,4.0,9,,,,2.0,340223.0,,1962,,2,340223.0,2.0,2.0,2,3,1.0,1.0,1,1,2.0,1,2,3,2
4671,4,0,3.0,3.0,9,,,,2.0,340223.0,,1966,,2,340223.0,,1.0,2,3,1.0,1.0,1,1,2.0,3,2,3,2
4672,3,0,4.0,5.0,9,,,,,340223.0,,1963,10.0,2,340223.0,,1.0,2,3,1.0,1.0,1,1,1.0,2,2,3,1
4673,5,0,3.0,3.0,9,3.0,4.0,,2.0,340223.0,500000.0,1988,1.0,2,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,3.0,3,1,3,2
4674,2,0,2.0,4.0,9,4.0,4.0,,,340223.0,200000.0,1971,,2,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,1,2,3,1
4675,1,0,5.0,5.0,9,4.0,4.0,,,340223.0,16000.0,1953,5.0,1,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,1,3,1,1
4676,3,0,4.0,5.0,9,,,,,340223.0,,1955,6.0,2,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,2,3,3,1
4677,3,0,3.0,3.0,9,4.0,4.0,,2.0,340223.0,50000.0,1968,,2,340221.0,1.0,1.0,2,3,1.0,1.0,1,1,3.0,2,2,2,2
4678,1,0,5.0,5.0,9,,,,2.0,340223.0,,1999,5.0,2,340223.0,,,2,3,1.0,1.0,1,1,4.0,1,1,3,3
4679,3,0,3.0,4.0,9,,,,2.0,341823.0,,1977,2.0,2,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,3.0,2,2,3,2
4680,3,0,5.0,5.0,9,4.0,4.0,,2.0,340223.0,60000.0,1963,6.0,2,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,3.0,2,2,2,2
4681,2,0,4.0,5.0,9,,,,,340223.0,,1973,1.0,2,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,1,2,3,1
4682,1,0,2.0,5.0,9,4.0,4.0,,2.0,340223.0,10000.0,1961,4.0,2,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,2.0,1,2,1,2
4683,2,0,2.0,4.0,9,,,,2.0,340223.0,,1961,,2,340223.0,2.0,,2,3,1.0,1.0,1,1,2.0,1,2,3,2
4684,3,0,2.0,2.0,9,,,,,340223.0,,1970,,2,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,2,2,3,1
4685,3,0,4.0,5.0,9,,,,,340223.0,,1955,8.0,2,340223.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,2,3,3,1
4686,2,0,,,9,2.0,1.0,,2.0,340521.0,40000.0,1987,4.0,2,340521.0,3.0,1.0,2,3,1.0,1.0,2,2,3.0,1,2,2,2
4687,3,0,,,9,1.0,1.0,,2.0,340181.0,175000.0,1982,3.0,2,340181.0,,1.0,2,3,1.0,1.0,1,1,3.0,2,2,3,2
4688,3,0,,,3,,,,,340521.0,,1954,11.0,2,340521.0,1.0,1.0,2,3,2.0,2.0,2,2,1.0,2,3,3,1
4689,1,0,,,9,,,,2.0,340521.0,,1990,10.0,2,340521.0,1.0,1.0,2,3,1.0,1.0,1,1,7.0,1,1,3,3
4690,4,0,,,9,,,,2.0,340521.0,,2000,5.0,1,340521.0,,,2,3,2.0,2.0,2,2,4.0,3,1,3,3
4691,3,0,,,9,,,,2.0,340521.0,,1970,6.0,2,340521.0,1.0,1.0,2,3,2.0,1.0,2,2,3.0,2,2,3,2
4692,3,0,,,9,,,,2.0,340521.0,,1955,8.0,2,340521.0,1.0,1.0,2,3,1.0,2.0,2,2,3.0,2,3,3,2
4693,3,0,,,9,,,,,340521.0,,1958,10.0,2,340521.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,2,2,3,1
4694,3,0,,,9,,,,2.0,320621.0,,1957,6.0,2,340521.0,1.0,1.0,2,3,2.0,2.0,2,2,4.0,2,3,3,3
4695,2,0,,,9,3.0,2.0,1.0,2.0,340521.0,100000.0,1950,5.0,2,340521.0,1.0,1.0,2,3,1.0,1.0,1,1,9.0,1,3,2,4
4696,3,0,,,9,4.0,4.0,,2.0,340521.0,80000.0,1965,3.0,2,340521.0,1.0,1.0,2,3,2.0,2.0,2,2,3.0,2,2,2,2
4697,3,0,2.0,4.0,9,,,,,341821.0,,1963,12.0,2,341821.0,2.0,1.0,2,3,1.0,1.0,1,1,1.0,2,2,3,1
4698,2,0,2.0,3.0,9,,,,2.0,341821.0,,1963,12.0,2,341821.0,1.0,1.0,2,3,1.0,1.0,1,1,2.0,1,2,3,2
4699,3,0,2.0,2.0,9,,,,,341821.0,,1956,2.0,2,341821.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,2,3,3,1
4700,3,0,3.0,3.0,9,,,,2.0,341821.0,,1991,7.0,2,341821.0,,,2,3,1.0,1.0,1,1,4.0,2,1,3,3
4701,3,0,2.0,4.0,9,,,,2.0,341821.0,,1969,11.0,2,341821.0,2.0,1.0,2,3,1.0,1.0,1,1,3.0,2,2,3,2
4702,3,0,2.0,4.0,9,,,,2.0,341821.0,,1999,5.0,1,341821.0,,,2,3,1.0,1.0,1,1,9.0,2,1,3,4
4703,2,0,2.0,4.0,9,,,,2.0,341821.0,,1984,10.0,1,341821.0,,1.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4704,2,0,2.0,2.0,9,4.0,4.0,,2.0,341821.0,20000.0,1967,11.0,2,341821.0,1.0,1.0,2,3,1.0,1.0,1,1,2.0,1,2,1,2
4705,2,0,3.0,3.0,9,,,,,341821.0,,1964,12.0,5,341821.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,1,2,3,1
4706,2,0,2.0,2.0,9,4.0,4.0,,2.0,341821.0,20000.0,1972,4.0,2,341821.0,1.0,1.0,2,3,1.0,1.0,1,1,3.0,1,2,1,2
4707,3,0,2.0,3.0,9,,,,,341821.0,,1969,,2,341821.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,2,2,3,1
4708,2,0,3.0,3.0,9,,,,2.0,341821.0,,1980,1.0,2,341821.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4709,1,0,2.0,2.0,9,4.0,4.0,,,341821.0,30000.0,1952,8.0,2,341821.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,1,3,2,1
4710,3,0,3.0,3.0,9,,,,2.0,341821.0,,2002,12.0,1,341821.0,,,2,3,1.0,1.0,1,1,3.0,2,1,3,2
4711,3,0,4.0,4.0,9,,,,2.0,341821.0,,1970,,2,341821.0,1.0,1.0,2,3,1.0,1.0,1,1,3.0,2,2,3,2
4712,3,0,3.0,3.0,9,,,,2.0,341821.0,,1971,12.0,2,341821.0,2.0,2.0,2,3,1.0,1.0,1,1,4.0,2,2,3,3
4713,2,0,2.0,3.0,9,4.0,4.0,,2.0,341821.0,60000.0,1966,1.0,2,341821.0,2.0,1.0,2,3,1.0,1.0,1,1,3.0,1,2,2,2
4714,3,0,2.0,4.0,9,,,,2.0,341821.0,,1968,11.0,2,341821.0,1.0,1.0,2,3,1.0,1.0,1,1,3.0,2,2,3,2
4715,1,0,2.0,2.0,9,4.0,1.0,,2.0,341821.0,20000.0,1980,2.0,2,341821.0,,1.0,2,3,1.0,1.0,1,1,3.0,1,2,1,2
4716,3,1,5.0,5.0,9,,,,2.0,350121.0,,1999,,1,350121.0,,,2,3,1.0,1.0,1,1,4.0,2,1,3,3
4717,2,0,4.0,3.0,3,3.0,2.0,,2.0,350121.0,60000.0,1980,,2,350121.0,2.0,2.0,2,3,1.0,1.0,1,1,6.0,1,2,2,3
4718,2,0,1.0,5.0,9,4.0,2.0,,2.0,350121.0,8000.0,1983,,2,350121.0,2.0,1.0,2,3,1.0,1.0,1,1,3.0,1,2,1,2
4719,2,0,4.0,2.0,9,4.0,2.0,,2.0,350121.0,10000.0,1969,,3,350121.0,2.0,1.0,2,3,1.0,1.0,1,1,2.0,1,2,1,2
4720,2,0,4.0,4.0,9,,,,2.0,350121.0,,1976,,3,350121.0,3.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4721,3,0,2.0,2.0,9,,,,,350121.0,,1949,,2,350121.0,1.0,1.0,2,3,1.0,2.0,1,1,1.0,2,3,3,1
4722,2,0,4.0,3.0,5,,,,2.0,350121.0,,1954,,2,350121.0,2.0,1.0,2,3,1.0,1.0,1,1,2.0,1,3,3,2
4723,2,0,4.0,3.0,3,4.0,2.0,,2.0,350121.0,60000.0,1972,,2,350121.0,,,2,3,1.0,1.0,1,1,3.0,1,2,2,2
4724,2,0,2.0,4.0,9,3.0,2.0,,2.0,350121.0,70000.0,1972,,2,350121.0,3.0,1.0,2,3,1.0,1.0,1,1,2.0,1,2,2,2
4725,3,0,2.0,2.0,9,4.0,4.0,,2.0,350121.0,18000.0,1948,,2,350121.0,1.0,1.0,2,3,1.0,1.0,1,1,2.0,2,3,1,2
4726,3,0,1.0,4.0,9,4.0,1.0,,2.0,350121.0,67000.0,1973,,2,350121.0,1.0,2.0,2,3,1.0,1.0,1,1,3.0,2,2,2,2
4727,2,0,3.0,4.0,3,,,,2.0,350121.0,,1997,,1,350121.0,,,2,3,1.0,1.0,1,1,9.0,1,1,3,4
4728,2,0,4.0,3.0,9,4.0,3.0,,2.0,350121.0,120000.0,1975,,2,350121.0,2.0,2.0,2,3,1.0,1.0,1,1,2.0,1,2,3,2
4729,1,0,3.0,4.0,9,,,,2.0,350121.0,,1980,,2,350121.0,2.0,1.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4730,2,0,3.0,3.0,9,4.0,3.0,,2.0,350121.0,61000.0,1977,,2,350121.0,,,2,3,1.0,1.0,1,1,2.0,1,2,2,2
4731,2,0,3.0,3.0,9,4.0,4.0,,2.0,350121.0,30000.0,1961,,2,350121.0,2.0,2.0,2,3,1.0,1.0,1,1,4.0,1,2,2,3
4732,3,0,2.0,3.0,3,,,,2.0,350121.0,,1963,,2,350121.0,2.0,1.0,2,3,1.0,1.0,1,1,2.0,2,2,3,2
4733,3,0,2.0,3.0,3,1.0,1.0,,2.0,350121.0,84000.0,1990,,2,350121.0,3.0,,2,3,1.0,1.0,1,1,3.0,2,1,2,2
4734,3,0,2.0,4.0,3,2.0,1.0,,2.0,350121.0,72000.0,1986,,2,350121.0,,,2,3,1.0,1.0,1,1,3.0,2,2,2,2
4735,1,0,2.0,4.0,9,,,,2.0,350121.0,,1957,,2,350121.0,1.0,1.0,2,3,1.0,1.0,1,2,7.0,1,3,3,3
4736,2,0,4.0,4.0,9,4.0,3.0,,,350121.0,40000.0,1960,,3,350121.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,1,2,2,1
4737,2,0,4.0,4.0,9,,,,2.0,330702.0,,1987,,2,330702.0,2.0,1.0,2,3,1.0,1.0,1,1,4.0,1,2,3,3
4738,2,0,5.0,3.0,3,,,,2.0,350121.0,,1960,,2,350121.0,1.0,1.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4739,2,0,3.0,3.0,9,,,,,350121.0,,1955,,2,350121.0,1.0,1.0,2,3,1.0,1.0,1,1,1.0,1,3,3,1
4740,2,0,3.0,3.0,3,4.0,2.0,,2.0,350121.0,50000.0,1976,,2,350121.0,2.0,1.0,2,3,1.0,1.0,1,1,3.0,1,2,2,2
4741,2,0,3.0,5.0,3,2.0,2.0,,2.0,350124.0,20000.0,1979,,2,350121.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,1,2
4742,3,0,4.0,4.0,3,,,,,350121.0,,1963,,2,350121.0,2.0,1.0,2,3,1.0,1.0,1,1,1.0,2,2,3,1
4743,2,0,2.0,4.0,3,3.0,1.0,,2.0,350121.0,60000.0,1990,,1,350121.0,,,2,3,1.0,1.0,1,1,3.0,1,1,2,2
4744,2,0,3.0,3.0,3,,,,2.0,350121.0,,1954,,2,350121.0,,1.0,2,3,1.0,1.0,1,1,2.0,1,3,3,2
4745,2,0,2.0,3.0,3,,,,2.0,350121.0,,1955,,2,350121.0,,,2,3,1.0,1.0,1,1,2.0,1,3,3,2
4746,2,0,3.0,3.0,9,,,,2.0,350121.0,,1978,,2,350121.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4747,2,0,2.0,2.0,9,3.0,3.0,,2.0,350121.0,24000.0,1981,,2,350121.0,2.0,2.0,2,3,1.0,1.0,1,1,2.0,1,2,2,2
4748,3,0,2.0,4.0,3,4.0,4.0,,,350111.0,0.0,1961,,4,350111.0,2.0,1.0,2,3,1.0,1.0,1,1,1.0,2,2,1,1
4749,2,0,3.0,4.0,3,1.0,1.0,,2.0,350121.0,50000.0,1982,,1,350121.0,,,2,3,1.0,1.0,1,1,2.0,1,2,2,2
4750,2,0,4.0,4.0,9,,,,2.0,350121.0,,2003,,1,350121.0,,,2,3,1.0,1.0,1,1,3.0,1,1,3,2
4751,3,0,2.0,2.0,9,2.0,3.0,,2.0,350121.0,50000.0,1963,,2,350121.0,1.0,1.0,2,3,1.0,1.0,1,1,2.0,2,2,2,2
4752,2,0,4.0,2.0,9,1.0,1.0,,2.0,350121.0,60000.0,1967,,2,350102.0,,,2,1,1.0,1.0,1,3,7.0,1,2,2,3
4753,2,0,4.0,2.0,9,,,,2.0,350121.0,,1974,,2,350102.0,2.0,2.0,2,3,1.0,1.0,1,3,3.0,1,2,3,2
4754,2,0,3.0,3.0,9,3.0,1.0,,2.0,350121.0,45000.0,1972,,2,350121.0,2.0,2.0,2,3,1.0,1.0,1,1,2.0,1,2,2,2
4755,2,0,1.0,4.0,9,1.0,2.0,,2.0,350121.0,80000.0,1979,,2,350121.0,,,2,3,1.0,1.0,1,1,3.0,1,2,2,2
4756,2,0,1.0,2.0,3,4.0,2.0,,2.0,350121.0,80000.0,1956,,2,350121.0,,,2,3,1.0,,1,1,2.0,1,3,2,2
4757,2,0,2.0,2.0,9,4.0,4.0,,2.0,350121.0,80000.0,1957,,2,350121.0,2.0,1.0,2,3,1.0,1.0,1,1,2.0,1,3,2,2
4758,3,0,3.0,5.0,9,,,,2.0,350121.0,,1984,,2,350121.0,4.0,1.0,2,3,1.0,1.0,1,1,3.0,2,2,3,2
4759,2,0,3.0,3.0,9,4.0,4.0,,2.0,350121.0,20000.0,1966,11.0,2,350121.0,,,2,3,1.0,1.0,1,1,2.0,1,2,1,2
4760,2,0,4.0,4.0,3,3.0,1.0,,2.0,350121.0,60000.0,1966,,2,350121.0,,,2,3,1.0,1.0,1,1,3.0,1,2,2,2
4761,2,0,4.0,4.0,9,,,,2.0,350924.0,,1971,,2,350121.0,3.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
4762,4,0,4.0,4.0,3,3.0,2.0,,2.0,350121.0,50000.0,1967,,2,350121.0,1.0,1.0,2,3,1.0,1.0,1,1,2.0,3,2,2,2
4763,3,0,4.0,4.0,9,,,,2.0,500109.0,,1954,,2,500109.0,,,2,3,1.0,1.0,1,1,3.0,2,3,3,2
4764,3,0,3.0,5.0,9,,,,2.0,350121.0,,1954,,2,350121.0,,,2,3,1.0,1.0,1,1,2.0,2,3,3,2
4765,2,0,3.0,3.0,3,1.0,1.0,,2.0,350121.0,72000.0,1973,,2,350121.0,,,2,3,1.0,1.0,1,1,2.0,1,2,2,2
4766,2,0,4.0,4.0,9,,,,2.0,350121.0,,1943,,2,350121.0,1.0,1.0,1,1,1.0,1.0,1,1,2.0,1,3,3,2
4767,3,0,3.0,5.0,9,3.0,1.0,,2.0,350121.0,80000.0,1966,,2,350121.0,,,2,3,1.0,1.0,1,1,3.0,2,2,2,2
4768,2,0,2.0,4.0,3,3.0,1.0,,2.0,350121.0,100000.0,1974,,2,350121.0,,,2,3,1.0,1.0,1,1,3.0,1,2,2,2
4769,3,0,2.0,3.0,5,4.0,4.0,,2.0,350121.0,0.0,1955,,2,350121.0,1.0,,1,3,,,1,1,2.0,2,3,1,2
4770,1,0,5.0,5.0,9,4.0,2.0,,2.0,350121.0,0.0,1967,,2,350121.0,,1.0,2,3,1.0,1.0,1,1,2.0,1,2,1,2
4771,3,0,5.0,5.0,9,,,,2.0,350121.0,,1996,,1,350121.0,,,2,3,1.0,1.0,1,1,8.0,2,1,3,4
4772,1,0,3.0,5.0,9,4.0,1.0,,2.0,350121.0,99999.0,1955,,2,350121.0,2.0,1.0,2,3,,,1,1,3.0,1,3,2,2
4773,1,0,3.0,5.0,9,,,,2.0,350121.0,,1963,2.0,2,350121.0,1.0,1.0,2,3,,,1,1,2.0,1,2,3,2
4774,1,0,3.0,2.0,9,4.0,4.0,,2.0,350121.0,40000.0,1960,,2,350121.0,2.0,1.0,2,1,,,1,1,2.0,1,2,2,2
4775,1,0,3.0,3.0,9,,,,,350426.0,,1964,,2,350121.0,,,2,3,,,1,1,1.0,1,2,3,1
