Income,MaritalStatus,Attitude_diff
1,1,0.09480756525339372
1,2,-0.033737730913853674
1,3,-0.2584199479741195
1,4,-0.044765995514196896
1,5,0.01567713047078502
1,6,0.009009245925662624
2,1,0.20460484643631766
2,2,-0.026995271764167227
2,3,-0.12222679279362257
2,4,0.0361928466386751
2,5,-0.01304957760374914
2,6,-0.054716244270415805
3,1,0.240206144574625
3,2,-0.02717012347183102
3,3,-0.15947814903232058
3,4,-0.07409608923165611
3,5,-0.034203423757595296
3,6,-0.15634226053057843
